"filename", "language", "JSON with Comments", "JavaScript", "TypeScript", "JSON", "Markdown", "comment", "blank", "total"
"c:\Users\Dodo\Desktop\Projeler\smartmoles-nest-backend\src\core\entities\hardwares\irrigation-types.model.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 3, 11
"c:\Users\Dodo\Desktop\Projeler\smartmoles-nest-backend\src\core\entities\hardwares\modem.models.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 4, 10
"c:\Users\Dodo\Desktop\Projeler\smartmoles-nest-backend\src\core\entities\hardwares\simcards.models.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 3, 11
"c:\Users\Dodo\Desktop\Projeler\smartmoles-nest-backend\src\core\entities\index.ts", "TypeScript", 0, 0, 23, 0, 0, 7, 8, 38
"c:\Users\Dodo\Desktop\Projeler\smartmoles-nest-backend\src\core\entities\logger\logger.models.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 1, 10
"c:\Users\Dodo\Desktop\Projeler\smartmoles-nest-backend\src\core\entities\permissions\permission-groups.models.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 2, 11
"c:\Users\Dodo\Desktop\Projeler\smartmoles-nest-backend\src\core\entities\permissions\permission.model.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\Dodo\Desktop\Projeler\smartmoles-nest-backend\src\core\entities\pumps\pumps.models.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 2, 11
"c:\Users\Dodo\Desktop\Projeler\smartmoles-nest-backend\src\core\entities\qrCode.model.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 1, 10
"c:\Users\Dodo\Desktop\Projeler\smartmoles-nest-backend\src\core\entities\subscription\subscription.models.ts", "TypeScript", 0, 0, 23, 0, 0, 0, 3, 26
"c:\Users\Dodo\Desktop\Projeler\smartmoles-nest-backend\src\core\entities\user.model.ts", "TypeScript", 0, 0, 14, 0, 0, 6, 3, 23
"c:\Users\Dodo\Desktop\Projeler\smartmoles-nest-backend\src\core\entities\users\users-new.models.ts", "TypeScript", 0, 0, 30, 0, 0, 0, 5, 35
"c:\Users\Dodo\Desktop\Projeler\smartmoles-nest-backend\src\core\entities\usersetting.model.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 1, 9
"c:\Users\Dodo\Desktop\Projeler\smartmoles-nest-backend\src\core\index.ts", "TypeScript", 0, 0, 2, 0, 0, 0, 0, 2
"c:\Users\Dodo\Desktop\Projeler\smartmoles-nest-backend\src\environment\environment.ts", "TypeScript", 0, 0, 22, 0, 0, 0, 1, 23
"c:\Users\Dodo\Desktop\Projeler\smartmoles-nest-backend\src\environment\index.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\Dodo\Desktop\Projeler\smartmoles-nest-backend\src\frameworks\data-services\mongo\model\callList.model.ts", "TypeScript", 0, 0, 32, 0, 0, 0, 4, 36
"c:\Users\Dodo\Desktop\Projeler\smartmoles-nest-backend\src\frameworks\data-services\mongo\model\card.model.ts", "TypeScript", 0, 0, 46, 0, 0, 0, 4, 50
"c:\Users\Dodo\Desktop\Projeler\smartmoles-nest-backend\src\frameworks\data-services\mongo\model\centralUnit\centralUnit.models.ts", "TypeScript", 0, 0, 24, 0, 0, 1, 5, 30
"c:\Users\Dodo\Desktop\Projeler\smartmoles-nest-backend\src\frameworks\data-services\mongo\model\centralUnit\hubGroups.model.ts", "TypeScript", 0, 0, 20, 0, 0, 1, 5, 26
"c:\Users\Dodo\Desktop\Projeler\smartmoles-nest-backend\src\frameworks\data-services\mongo\model\centralUnit\khas.model.ts", "TypeScript", 0, 0, 31, 0, 0, 1, 4, 36
"c:\Users\Dodo\Desktop\Projeler\smartmoles-nest-backend\src\frameworks\data-services\mongo\model\centralUnit\pumps-khas.model.ts", "TypeScript", 0, 0, 12, 0, 0, 1, 6, 19
"c:\Users\Dodo\Desktop\Projeler\smartmoles-nest-backend\src\frameworks\data-services\mongo\model\centralUnit\valveCard.model.ts", "TypeScript", 0, 0, 18, 0, 0, 1, 5, 24
"c:\Users\Dodo\Desktop\Projeler\smartmoles-nest-backend\src\frameworks\data-services\mongo\model\contracts\contractTypes.models.ts", "TypeScript", 0, 0, 34, 0, 0, 0, 4, 38
"c:\Users\Dodo\Desktop\Projeler\smartmoles-nest-backend\src\frameworks\data-services\mongo\model\contracts\user-contract-model.ts", "TypeScript", 0, 0, 16, 0, 0, 1, 4, 21
"c:\Users\Dodo\Desktop\Projeler\smartmoles-nest-backend\src\frameworks\data-services\mongo\model\hardwares\device-types.models.ts", "TypeScript", 0, 0, 15, 0, 0, 1, 4, 20
"c:\Users\Dodo\Desktop\Projeler\smartmoles-nest-backend\src\frameworks\data-services\mongo\model\hardwares\devices.models.ts", "TypeScript", 0, 0, 19, 0, 0, 1, 4, 24
"c:\Users\Dodo\Desktop\Projeler\smartmoles-nest-backend\src\frameworks\data-services\mongo\model\hardwares\hardwares.models.ts", "TypeScript", 0, 0, 19, 0, 0, 1, 4, 24
